1940s,Unsold
1950s,Unsold
1950s,"800
"
1980s,"1300
"
1950s,"4000
"
1970s,Unsold
1860s,"750
"
1980s,Unsold
1930s,Unsold
1990s,"300
"
2010s,"1000
"
1860s,"2200
"
1850s,Unsold
1950s,"1000
"
1960s,"700
"
1950s,"3200
"
1970s,"900
"
1850s,"9000
"
1950s,Unsold
1960s,Unsold
1930s,Unsold
1850s,Unsold
1980s,"500
"
1970s,Unsold
1970s,Unsold
1940s,Unsold
1960s,Unsold
1960s,Unsold
1950s,"120
"
1960s,"800
"
1980s,Unsold
1880s,"500
"
2000s aughts,"600
"
1920s,Unsold
1920s,"600
"
1960s,"1500
"
1900s aughts,"75
"
1850s,Unsold
1850s,"500
"
1950s,"800
"
1940s,"5500
"
2000s aughts,Unsold
1940s,Unsold
1960s,"650
"
1850s,"2200
"
1930s,"400
"
1850s,Unsold
1880s,"950
"
1980s,Unsold
1920s,Unsold
1980s,Unsold
1900s aughts,"1200
"
1900s aughts,Unsold
1860s,"280
"
1930s,"2200
"
1920s,Unsold
1960s,"4500
"
1870s,Unsold
1990s,Unsold
1940s,"1200
"
1970s,Unsold
1890s,"2200
"
1970s,"550
"
2000s aughts,"200
"
1930s,Unsold
1950s,Unsold
1890s,Unsold
1900s aughts,Unsold
1910s,Unsold
1970s,Unsold
1950s,"100
"
1930s,Unsold
1880s,Unsold
1950s,Unsold
1970s,Unsold
1950s,"900
"
1940s,Unsold
1980s,Unsold
1850s,"700
"
1950s,"300
"
2000s aughts,"5000
"
1960s,Unsold
1960s,"700
"
2010s,"2200
"
1950s,"800
"
1900s aughts,Unsold
1950s,"140
"
1860s,Unsold
1960s,Unsold
1960s,"700
"
2000s aughts,Unsold
1970s,Unsold
1920s,Unsold
1980s,"150
"
1950s,"800
"
1950s,"100
"
1900s aughts,Unsold
1950s,"2200
"
1960s,"700
"
1930s,Unsold
1960s,"1100
"
1930s,Unsold
1870s,Unsold
1980s,"300
"
1960s,"150
"
1910s,"3000
"
1930s,Unsold
2010s,Unsold
1960s,"400
"
1970s,Unsold
1900s aughts,Unsold
1900s aughts,"1800
"
2000s aughts,"7000
"
1860s,"1100
"
1930s,Unsold
1960s,Unsold
1860s,"300
"
1950s,"1200
"
2000s aughts,"6500
"
1920s,"1000
"
1970s,Unsold
1930s,Unsold
1860s,"400
"
1940s,Unsold
1970s,"380
"
1990s,"2500
"
1870s,Unsold
1970s,"1000
"
1940s,Unsold
2000s aughts,"5000
"
1950s,Unsold
1940s,Unsold
2000s aughts,"1000
"
1960s,"2400
"
2000s aughts,"1000
"
1950s,"1000
"
1860s,"400
"
1960s,Unsold
2000s aughts,"800
"
1980s,"800
"
1980s,"400
"
1980s,"1000
"
1870s,"800
"
1960s,"100
"
1960s,"1300
"
1950s,"200
"
1970s,Unsold
1950s,"5000
"
2000s aughts,"5000
"
1870s,Unsold
1930s,"4000
"
1850s,"420
"
1960s,"180
"
1860s,"260
"
1880s,Unsold
1860s,"650
"
1910s,"600
"
1980s,"1500
"
2000s aughts,"400
"
1960s,"150
"
1980s,"2000
"
1950s,Unsold
1940s,Unsold
1950s,Unsold
1980s,"2400
"
1940s,"850
"
1920s,Unsold
1980s,"1800
"
1950s,"550
"
1960s,Unsold
1960s,"260
"
1860s,"1300
"
1930s,Unsold
1980s,"1600
"
1990s,"420
"
1980s,"1600
"
1990s,"200
"
1950s,"1800
"
1930s,"1200
"
1980s,"2000
"
1970s,Unsold
1980s,"400
"
2000s aughts,"1000
"
1970s,"1600
"
1960s,"2400
"
2000s aughts,"400
"
1930s,Unsold
1850s,"600
"
1950s,"480
"
1930s,"200
"
1850s,Unsold
1950s,"1600
"
1940s,Unsold
1900s aughts,"4200
"
1850s,"700
"
1930s,Unsold
1950s,Unsold
1970s,Unsold
2000s aughts,"400
"
1950s,"2000
"
1990s,"380
"
1950s,"3000
"
2000s aughts,"130
"
1960s,Unsold
1950s,Unsold
1860s,"480
"
1920s,"1700
"
1950s,"2000
"
1980s,"3500
"
1940s,Unsold
