1850s,200,1
1850s,Unsold,3
1860s,900,1
1870s,2000,1
1870s,6500,1
1870s,6800,1
1880s,2400,1
1880s,400,1
1880s,4500,1
1880s,Unsold,3
1900s aughts,550,1
1900s aughts,Unsold,1
1910s,Unsold,1
1920s,800,1
1920s,Unsold,3
1930s,1000,1
1930s,1300,2
1930s,1400,1
1930s,1500,1
1930s,200,1
1930s,3000,1
1930s,350,1
1930s,3800,1
1930s,400,1
1930s,480,1
1930s,5500,1
1930s,600,1
1930s,700,1
1930s,7800,1
1930s,800,1
1930s,850,2
1930s,Unsold,7
1940s,1000,1
1940s,2200,1
1940s,320,1
1940s,400,2
1940s,450,1
1940s,500,1
1940s,9000,1
1940s,950,1
1940s,Unsold,14
1950s,1000,1
1950s,1500,1
1950s,1800,1
1950s,2000,3
1950s,2200,1
1950s,2400,2
1950s,3000,1
1950s,3200,1
1950s,350,2
1950s,3800,1
1950s,400,1
1950s,4000,1
1950s,550,1
1950s,600,1
1950s,700,1
1950s,800,5
1950s,850,1
1950s,Unsold,18
1960s,150,1
1960s,1500,1
1960s,200,1
1960s,2000,1
1960s,2200,1
1960s,300,1
1960s,3000,2
1960s,3500,1
1960s,420,1
1960s,5000,1
1960s,600,2
1960s,7000,1
1960s,800,4
1960s,900,1
1960s,Unsold,7
1970s,1400,1
1970s,150,1
1970s,1600,1
1970s,1700,1
1970s,190,2
1970s,2000,1
1970s,3800,1
1970s,400,1
1970s,500,1
1970s,60,1
1970s,600,1
1970s,750,1
1970s,Unsold,12
1980s,1000,1
1980s,1100,1
1980s,1300,1
1980s,1400,3
1980s,1500,2
1980s,1600,1
1980s,300,2
1980s,3000,1
1980s,3200,2
1980s,380,1
1980s,3800,1
1980s,400,1
1980s,500,1
1980s,5300,1
1980s,650,1
1980s,800,1
1980s,Unsold,4
1990s,1200,1
1990s,1300,1
1990s,1500,1
1990s,40,1
1990s,400,2
1990s,420,2
1990s,800,1
1990s,Unsold,2
2000s aughts,1200,1
2000s aughts,1600,1
2000s aughts,Unsold,11
2010s,900,1
2010s,Unsold,2
