1850s,Unsold,3
1860s,650,1
1860s,Unsold,3
1870s,480,1
1880s,1000,2
1880s,1100,1
1880s,1200,1
1880s,400,1
1880s,550,1
1880s,600,1
1880s,950,1
1880s,Unsold,8
1890s,1700,1
1900s aughts,1200,1
1900s aughts,240,1
1900s aughts,3000,1
1900s aughts,350,1
1900s aughts,400,2
1900s aughts,50,1
1900s aughts,500,1
1900s aughts,800,1
1900s aughts,Unsold,13
1910s,1100,1
1910s,1300,1
1910s,150,1
1910s,160,1
1910s,Unsold,2
1920s,1900,1
1920s,Unsold,1
1930s,10000,1
1930s,1500,1
1930s,2600,1
1930s,5500,1
1930s,Unsold,2
1940s,1100,1
1940s,4000,1
1940s,420,1
1940s,4800,1
1940s,500,1
1940s,600,1
1940s,800,1
1940s,900,1
1940s,Unsold,2
1950s,1100,1
1950s,1200,2
1950s,1400,1
1950s,1800,1
1950s,2200,2
1950s,2800,1
1950s,480,1
1950s,600,1
1950s,6000,1
1950s,800,2
1950s,8500,1
1950s,900,1
1950s,Unsold,21
1960s,1000,3
1960s,1100,1
1960s,11500,1
1960s,1600,1
1960s,2000,2
1960s,260,1
1960s,3200,1
1960s,400,3
1960s,500,1
1960s,550,1
1960s,650,1
1960s,700,1
1960s,800,1
1960s,900,1
1960s,Unsold,16
1970s,1000,2
1970s,1200,3
1970s,1400,1
1970s,1500,1
1970s,1950,1
1970s,2400,1
1970s,2600,1
1970s,3000,1
1970s,440,1
1970s,460,1
1970s,500,1
1970s,600,1
1970s,700,1
1970s,800,7
1970s,850,1
1970s,Unsold,13
1980s,1000,2
1980s,1450,1
1980s,1950,1
1980s,2000,1
1980s,2200,1
1980s,400,1
1980s,800,1
1980s,Unsold,10
1990s,12000,1
1990s,1500,1
1990s,3000,1
1990s,4000,1
1990s,Unsold,5
2000s aughts,2000,1
2000s aughts,700,1
2000s aughts,Unsold,4
2010s,1500,1
2010s,600,1
2010s,Unsold,1
