1850s,140,4,140,140,35.0,140
1860s,4900,8,3200,50,612.5,95.0
1870s,1310,4,1300,10,327.5,655.0
1880s,5360,22,750,50,243.63636363636363,210.0
1890s,2330,7,950,10,332.85714285714283,380
1900s aughts,1700,18,480,30,94.44444444444444,100
1910s,250,5,100,50,50.0,50.0
1920s,840,8,380,30,105.0,110.0
1930s,3470,19,800,40,182.6315789473684,170.0
1940s,5460,13,1600,60,420.0,420
1950s,26620,57,2600,20,467.0175438596491,500
1960s,15980,48,2600,20,332.9166666666667,400.0
1970s,8820,32,1900,10,275.625,200
1980s,8090,26,1800,50,311.15384615384613,350
1990s,8495,27,1000,5,314.6296296296296,400
2000s aughts,3400,17,1300,100,200.0,450.0
