2000s aughts,Unsold
1960s,"500
"
1980s,"480
"
2000s aughts,Unsold
1980s,"1800
"
1970s,Unsold
2000s aughts,Unsold
2000s aughts,"900
"
1980s,"400
"
1980s,"320
"
1950s,"110
"
1950s,"500
"
1930s,"800
"
1950s,"20
"
1980s,Unsold
1890s,"10
"
1950s,Unsold
1950s,"100
"
1980s,"300
"
1890s,Unsold
1970s,"1000
"
1900s aughts,Unsold
1990s,"1000
"
1880s,"550
"
1950s,"300
"
2000s aughts,Unsold
1970s,"200
"
1990s,"550
"
1900s aughts,"150
"
1960s,"500
"
1970s,Unsold
1990s,"100
"
1990s,"120
"
1960s,Unsold
1930s,"800
"
1950s,Unsold
1880s,"600
"
1980s,"50
"
1880s,"60
"
1950s,"350
"
1960s,Unsold
1950s,"500
"
1950s,"1600
"
1980s,"50
"
1970s,"190
"
1900s aughts,"400
"
2000s aughts,Unsold
1910s,Unsold
1950s,"1800
"
1880s,"350
"
1960s,"420
"
1980s,Unsold
1990s,"400
"
1960s,"100
"
1990s,"650
"
1860s,"3200
"
1970s,"600
"
1940s,"60
"
1860s,"1200
"
1950s,"150
"
1990s,"100
"
1930s,"180
"
1940s,"80
"
1970s,"10
"
1970s,"150
"
1960s,"2600
"
1970s,"40
"
1990s,"650
"
1950s,"260
"
1970s,"1100
"
1990s,"600
"
1990s,Unsold
1950s,"650
"
1870s,"1300
"
1860s,"110
"
1950s,"600
"
1860s,"90
"
1960s,"1000
"
2000s aughts,Unsold
1960s,Unsold
1980s,"350
"
1950s,"900
"
1940s,"700
"
1960s,"20
"
1900s aughts,Unsold
1990s,Unsold
1970s,"10
"
1990s,"400
"
1900s aughts,"50
"
1950s,"700
"
1850s,Unsold
1940s,"420
"
1980s,"50
"
1970s,"800
"
1940s,"800
"
1930s,"50
"
1950s,"800
"
1960s,Unsold
1930s,"240
"
1940s,"1600
"
1900s aughts,"170
"
1980s,"480
"
1960s,Unsold
1990s,"550
"
1960s,Unsold
1910s,"50
"
1900s aughts,Unsold
1920s,"30
"
1900s aughts,"480
"
1950s,"900
"
1970s,"500
"
2000s aughts,Unsold
1920s,"380
"
1910s,"50
"
1860s,"50
"
1880s,"220
"
1880s,"420
"
1980s,Unsold
1900s aughts,"180
"
1950s,"200
"
2000s aughts,"400
"
1970s,"320
"
1870s,Unsold
1950s,"800
"
1930s,"180
"
1960s,"600
"
1950s,"700
"
1930s,"480
"
1950s,"1600
"
1980s,"70
"
1950s,"150
"
1950s,"800
"
1930s,Unsold
1850s,"140
"
1950s,"50
"
1960s,"110
"
1950s,Unsold
1950s,"60
"
1850s,Unsold
1960s,"600
"
1950s,"500
"
1880s,"200
"
1950s,"160
"
1920s,"60
"
1960s,"60
"
1950s,"350
"
1950s,"120
"
1960s,"2000
"
1850s,Unsold
1960s,"40
"
1950s,"500
"
1950s,"2600
"
1930s,"60
"
1880s,"380
"
1970s,Unsold
1950s,"400
"
1970s,Unsold
1880s,"750
"
1960s,Unsold
1880s,"220
"
1950s,"300
"
1950s,Unsold
1930s,"180
"
1930s,"70
"
1900s aughts,"30
"
1980s,"580
"
1860s,"90
"
1960s,"300
"
1920s,Unsold
1920s,Unsold
1970s,"30
"
1960s,Unsold
1970s,"10
"
1930s,"80
"
1870s,Unsold
1900s aughts,Unsold
1960s,"850
"
1970s,"300
"
1950s,"850
"
1960s,"800
"
1960s,"200
"
1970s,Unsold
1900s aughts,"100
"
1950s,"100
"
1950s,"50
"
1950s,"80
"
1920s,"90
"
1880s,Unsold
1960s,Unsold
1880s,"350
"
1970s,"400
"
1880s,"160
"
1890s,"950
"
1920s,"150
"
1960s,"650
"
1880s,"140
"
1960s,Unsold
1960s,Unsold
2000s aughts,"200
"
1880s,"160
"
1960s,Unsold
1980s,Unsold
1960s,"50
"
1960s,Unsold
1970s,"40
"
1990s,"170
"
1960s,"1200
"
1960s,"90
"
1990s,Unsold
1950s,Unsold
1970s,"300
"
1980s,Unsold
1970s,"130
"
1900s aughts,Unsold
1940s,"160
"
1900s aughts,"60
"
2000s aughts,"500
"
1990s,"350
"
1970s,Unsold
1980s,Unsold
1960s,"30
"
1960s,Unsold
1950s,"600
"
1990s,Unsold
1870s,"10
"
1990s,Unsold
1930s,"160
"
1960s,Unsold
1880s,"130
"
1980s,"400
"
1930s,Unsold
1980s,"140
"
1950s,"110
"
2000s aughts,"1300
"
1950s,Unsold
1930s,Unsold
1950s,"400
"
1890s,"140
"
1880s,"50
"
1970s,"1900
"
1900s aughts,Unsold
1940s,"400
"
1940s,Unsold
1960s,"150
"
1890s,Unsold
1880s,Unsold
1960s,Unsold
1930s,"150
"
1880s,"90
"
1960s,"1300
"
1960s,Unsold
1950s,"100
"
1880s,"60
"
1900s aughts,"50
"
1970s,"90
"
1960s,Unsold
2000s aughts,"100
"
1930s,"40
"
1930s,Unsold
1990s,"190
"
1860s,"100
"
1970s,Unsold
1980s,"650
"
1950s,"800
"
1980s,"500
"
1970s,"400
"
2000s aughts,Unsold
2000s aughts,Unsold
2000s aughts,Unsold
1980s,"1050
"
1900s aughts,Unsold
1980s,"220
"
1960s,Unsold
1990s,"200
"
1940s,"480
"
1890s,"380
"
1970s,"30
"
1990s,"750
"
1920s,"130
"
1950s,"500
"
1860s,"60
"
1990s,"420
"
1950s,Unsold
1990s,"400
"
1930s,Unsold
1880s,"170
"
1940s,"650
"
1960s,"190
"
1910s,"100
"
1950s,"1400
"
1970s,"240
"
1990s,"700
"
1950s,Unsold
1940s,"110
"
1950s,Unsold
1910s,"50
"
1890s,"850
"
1990s,"5
"
1960s,"380
"
1970s,"30
"
1990s,"190
"
1940s,Unsold
1950s,Unsold
1950s,"200
"
1960s,"1200
"
1990s,Unsold
1950s,"1200
"
2000s aughts,Unsold
1900s aughts,"30
"
1960s,Unsold
1980s,Unsold
1950s,"700
"
1980s,"200
"
1960s,"40
"
1880s,"300
"
