1870s,Unsold
1960s,"1100
"
1980s,"1600
"
1860s,"650
"
1940s,"1200
"
1960s,"1300
"
1850s,Unsold
1950s,"1600
"
1920s,Unsold
1970s,Unsold
1950s,"3000
"
1980s,"1000
"
1920s,"1000
"
1950s,Unsold
1900s aughts,Unsold
1920s,Unsold
1930s,"400
"
1980s,"1600
"
1880s,Unsold
1860s,"300
"
2000s aughts,"800
"
1930s,Unsold
1960s,Unsold
2000s aughts,"200
"
1980s,"300
"
1940s,Unsold
1930s,Unsold
1970s,"380
"
1970s,Unsold
1900s aughts,"4200
"
1980s,"800
"
1950s,Unsold
1930s,Unsold
1980s,"150
"
1970s,Unsold
1950s,Unsold
1930s,Unsold
2010s,Unsold
1940s,Unsold
1980s,"3500
"
1850s,"420
"
2000s aughts,"600
"
1920s,"1700
"
1930s,Unsold
1880s,"950
"
1950s,"120
"
1940s,Unsold
1910s,"3000
"
1960s,Unsold
1950s,"2200
"
1920s,Unsold
2000s aughts,"1000
"
1850s,"700
"
1920s,Unsold
1970s,"900
"
1970s,"1600
"
1950s,"5000
"
1850s,"600
"
1950s,"4000
"
1980s,"1500
"
2000s aughts,Unsold
1860s,"750
"
1870s,Unsold
1860s,"280
"
1910s,Unsold
1950s,Unsold
1950s,"140
"
2000s aughts,"7000
"
1990s,"300
"
1950s,"800
"
2000s aughts,"6500
"
1980s,"1800
"
1850s,Unsold
1970s,Unsold
1960s,"700
"
1960s,"150
"
1900s aughts,"1800
"
1950s,"3200
"
1970s,Unsold
1960s,Unsold
1850s,Unsold
1960s,"800
"
1870s,"800
"
2000s aughts,"1000
"
1940s,"5500
"
1950s,"800
"
1860s,"2200
"
1970s,Unsold
1850s,"500
"
1970s,Unsold
2000s aughts,"400
"
2000s aughts,"400
"
1970s,Unsold
1950s,"2000
"
1930s,Unsold
1950s,Unsold
1960s,"650
"
1950s,"300
"
1970s,"550
"
1960s,"2400
"
1950s,"2000
"
1850s,Unsold
1980s,"2400
"
1910s,"600
"
1860s,"400
"
1980s,Unsold
1850s,"2200
"
1960s,"2400
"
1940s,Unsold
1960s,"150
"
1960s,Unsold
1950s,"1200
"
1890s,"2200
"
1940s,"850
"
2000s aughts,"130
"
2000s aughts,"400
"
1900s aughts,"75
"
1950s,Unsold
1960s,Unsold
1960s,"700
"
1980s,"1300
"
1970s,Unsold
2000s aughts,Unsold
1950s,"900
"
2010s,"1000
"
1860s,"260
"
1930s,Unsold
1880s,"500
"
1950s,"480
"
1960s,"180
"
1960s,Unsold
1860s,"1100
"
1860s,Unsold
1960s,"1500
"
1980s,"400
"
1860s,"480
"
1930s,Unsold
1980s,Unsold
1960s,Unsold
1950s,"1000
"
1980s,Unsold
1950s,"800
"
1930s,Unsold
1950s,Unsold
1990s,"380
"
1960s,"4500
"
1880s,Unsold
1940s,Unsold
1950s,"1800
"
1930s,Unsold
1970s,Unsold
2000s aughts,"5000
"
1950s,"200
"
2000s aughts,"5000
"
1850s,"9000
"
1950s,"100
"
1860s,"400
"
1890s,Unsold
1990s,"200
"
1970s,"1000
"
1900s aughts,"1200
"
1960s,"700
"
1960s,"700
"
1950s,"550
"
1930s,Unsold
1940s,Unsold
1940s,Unsold
1960s,"100
"
1960s,"400
"
1850s,"700
"
1980s,"2000
"
1920s,"600
"
1930s,Unsold
1980s,Unsold
1990s,Unsold
2010s,"2200
"
1970s,Unsold
1950s,"100
"
1980s,"400
"
1860s,"1300
"
1850s,Unsold
1960s,Unsold
1930s,"4000
"
1900s aughts,Unsold
1940s,Unsold
1870s,Unsold
1970s,Unsold
1940s,Unsold
1930s,"1200
"
2000s aughts,"5000
"
1900s aughts,Unsold
2000s aughts,"1000
"
1950s,"800
"
1930s,"200
"
1980s,"500
"
1980s,"2000
"
1950s,"1000
"
1900s aughts,Unsold
1980s,Unsold
1950s,Unsold
1950s,Unsold
1930s,"2200
"
1990s,"420
"
1960s,"260
"
1900s aughts,Unsold
1870s,Unsold
1920s,Unsold
1960s,Unsold
1990s,"2500
"
1940s,Unsold
